1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
"(20, '199704290ORL')","(15, '199804300CLE')","(30, '199905120NYK')","(7, '200004300TOR')","(9, '200105020IND')","(10, '200204240DET')","(31, '200304300DET')","(30, '200404210MIA')","(11, '200505050IND')","(34, '200605030DET')","(18, '200704260ORL')","(15, '200804270PHI')","(13, '200905020BOS')","(19, '201004200ATL')","(12, '201104170BOS')","(19, '201205090MIA')","(17, '201304210IND')","(13, '201404280CHA')","(16, '201504180CHI')","(16, '201605010TOR')","(19, '201704150TOR')","(16, '201804240BOS')","(32, '201904150PHI')","(28, '202008190BOS')","(19, '202106060LAC')","(13, '202204290MIN')","(25, '202304150PHI')","(9, '202405030ORL')"
"(15, '199705010ORL')","(24, '199804240MIA')","(19, '199905140NYK')","(12, '200004220CHH')","(7, '200104220NYK')","(20, '200204270TOR')","(15, '200305020ORL')","(15, '200404240NOH')","(29, '200505070BOS')","(14, '200604220MIA')","(10, '200704280ORL')","(26, '200804290DET')","(18, '200904190ORL')","(28, '201004240MIL')","(11, '201104190BOS')","(10, '201204280IND')","(24, '201304240IND')","(12, '201404190TOR')","(10, '201504200CHI')","(34, '201604170MIA')","(13, '201704180TOR')","(14, '201804260MIL')","(18, '201904180BRK')","(9, '202008210PHI')","(17, '202105220BRK')","(15, '202204170BOS')","(15, '202304170PHI')","(18, '202405050CLE')"
"(17, '199705040MIA')","(14, '199804260MIA')","(13, '199905160MIA')","(11, '200004240CHH')","(24, '200104260NYK')","(14, '200204290TOR')","(26, '200305040DET')","(11, '200404270NOH')","(20, '200504240MIA')","(20, '200604240MIA')","(15, '200704210TOR')","(32, '200805010PHI')","(18, '200904220ORL')","(13, '201004260MIL')","(23, '201104220NYK')","(17, '201204300IND')","(28, '201304270ATL')","(11, '201404220TOR')","(18, '201504230MIL')","(18, '201604200MIA')","(34, '201704200MIL')","(19, '201804280BOS')","(10, '201904200BRK')","(17, '202008230PHI')","(33, '202105250BRK')","(17, '202204200BOS')","(13, '202304200BRK')","(30, '202404210MIL')"
"(15, '199704240NYK')","(14, '199804280NYK')","(15, '199905090ORL')","(8, '200004280PHI')","(10, '200104290TOR')","(9, '200205020DET')","(31, '200304190NJN')","(11, '200404300MIA')","(22, '200504260MIA')","(21, '200604270CHI')","(7, '200704240TOR')","(24, '200804200ORL')","(17, '200904240PHI')","(13, '201004280ATL')","(23, '201104240NYK')","(29, '201205020ORL')","(19, '201304290ATL')","(15, '201404250BRK')","(12, '201504250MIL')","(24, '201604230CHO')","(11, '201704220MIL')","(29, '201804140PHI')","(39, '201904230PHI')","(12, '202008180IND')","(17, '202105280BOS')","(15, '202204230BRK')","(14, '202304220BRK')","(23, '202404230MIL')"
"(10, '199704260NYK')","(11, '199804300NYK')","(21, '199905110ORL')","(8, '200005010PHI')","(16, '200105020TOR')","(11, '200204200NJN')","(5, '200304220NJN')","(19, '200405020NOH')","(10, '200504280NJN')","(13, '200604300CHI')","(21, '200704270NJN')","(18, '200804220ORL')","(11, '200904260PHI')","(20, '201004300MIL')","(18, '201104160ORL')","(19, '201205050ORL')","(27, '201305010IND')","(17, '201404270BRK')","(9, '201504270CHI')","(18, '201604250CHO')","(28, '201704240TOR')","(16, '201804160PHI')","(22, '201904140BOS')","(16, '202008200IND')","(27, '202105300BOS')","(15, '202204250BRK')","(32, '202304150BOS')","(19, '202404260IND')"
"(11, '199704280CHH')","(20, '199805030MIA')","(23, '199905130PHI')","(16, '200004230LAL')","(13, '200105040NYK')","(20, '200204220NJN')","(19, '200304240MIL')","(16, '200405040MIA')","(13, '200505010NJN')","(19, '200605020MIA')","(33, '200704290NJN')","(23, '200804240TOR')","(14, '200904280ORL')","(24, '201005020ATL')","(14, '201104190ORL')","(20, '201205080IND')","(19, '201305030ATL')","(26, '201404300TOR')","(54, '201504300MIL')","(12, '201604270MIA')","(25, '201704270MIL')","(20, '201804190MIA')","(12, '201904170BOS')","(20, '202008220MIA')","(22, '202106010BRK')","(24, '202204160GSW')","(22, '202304180BOS')","(19, '202404280IND')"
"(23, '199704240HOU')","(11, '199804240LAL')","(18, '199905150PHI')","(31, '200004270LAL')","(13, '200104210UTA')","(9, '200204260IND')","(15, '200304260MIL')","(24, '200404170NJN')","(9, '200504240CHI')","(19, '200605040CHI')","(20, '200705010TOR')","(13, '200804260TOR')","(25, '200904300PHI')","(14, '201004170BOS')","(14, '201104220ATL')","(19, '201204290ATL')","(28, '201304200BRK')","(26, '201405020BRK')","(15, '201504180TOR')","(13, '201604290CHO')","(15, '201704160WAS')","(12, '201804210MIA')","(15, '201904190IND')","(13, '202008240MIA')","(15, '202105220DEN')","(23, '202204180GSW')","(14, '202304210ATL')","(27, '202404300MIL')"
"(14, '199704260HOU')","(17, '199804260LAL')","(11, '199905090LAL')","(12, '200004300SAC')","(20, '200104240UTA')","(25, '200204300IND')","(9, '200304290NJN')","(22, '200404200NJN')","(20, '200504270CHI')","(6, '200604230NJN')","(10, '200705040NJN')","(13, '200804280ORL')","(27, '200904190ATL')","(33, '201004200BOS')","(16, '201104240ATL')","(11, '201205010ATL')","(14, '201304220BRK')","(12, '201405040TOR')","(23, '201504210TOR')","(38, '201605010MIA')","(10, '201704190WAS')","(18, '201804240PHI')","(11, '201904210IND')","(16, '202008180LAL')","(23, '202105240DEN')","(12, '202204210DEN')","(14, '202304230ATL')","(24, '202405020IND')"
"(9, '199704290MIN')","(7, '199804280POR')","(23, '199905110LAL')","(14, '200005020SAC')","(13, '200104280DAL')","(11, '200205020NJN')","(22, '200305010MIL')","(14, '200404220NYK')","(20, '200504300WAS')","(21, '200604250NJN')","(14, '200704220DAL')","(11, '200804190CLE')","(18, '200904220ATL')","(9, '201004230MIA')","(32, '201104260ORL')","(11, '201205040BOS')","(17, '201304250CHI')","(13, '201404200CHI')","(10, '201504240WAS')","(19, '201604160ATL')","(25, '201704220ATL')","(23, '201804150CLE')","(19, '201904130GSW')","(33, '202008200LAL')","(12, '202105270POR')","(17, '202204240DEN')","(13, '202304250BOS')","(14, '202404200NYK')"
"(18, '199704250LAL')","(20, '199804300POR')","(14, '199905130HOU')","(37, '200005050LAL')","(31, '200105010DAL')","(11, '200204210DAL')","(10, '200304200PHI')","(7, '200404250NYK')","(28, '200505020WAS')","(17, '200604270IND')","(20, '200704250DAL')","(30, '200804210CLE')","(31, '200904250MIA')","(18, '201004250MIA')","(12, '201104280ATL')","(37, '201205060BOS')","(14, '201304270CHI')","(17, '201404220CHI')","(37, '201504260WAS')","(23, '201604190ATL')","(12, '201704240ATL')","(18, '201804180CLE')","(31, '201904150GSW')","(14, '202008220POR')","(33, '202105290POR')","(10, '202204270GSW')","(10, '202304270ATL')","(10, '202404220NYK')"
