1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
"(20, '199704290ORL')","(5, '199804300CLE')","(8, '199905120NYK')","(7, '200004300TOR')","(9, '200105020IND')","(10, '200204240DET')","(2, '200304300DET')","(2, '200404210MIA')","(11, '200505050IND')","(2, '200605030DET')","(8, '200704260ORL')","(14, '200804270PHI')","(10, '200905020BOS')","(10, '201004200ATL')","(12, '201104170BOS')","(6, '201205090MIA')","(6, '201304210IND')","(5, '201404280CHA')","(6, '201504180CHI')","(5, '201605010TOR')","(10, '201704150TOR')","(6, '201804240BOS')","(13, '201904150PHI')","(14, '202008190BOS')","(9, '202106060LAC')","(13, '202204290MIN')","(3, '202304150PHI')","(9, '202405030ORL')"
"(6, '199705010ORL')","(0, '199804240MIA')","(11, '199905140NYK')","(11, '200004220CHH')","(7, '200104220NYK')","(2, '200204270TOR')","(6, '200305020ORL')","(3, '200404240NOH')","(5, '200505070BOS')","(14, '200604220MIA')","(10, '200704280ORL')","(4, '200804290DET')","(18, '200904190ORL')","(1, '201004240MIL')","(11, '201104190BOS')","(10, '201204280IND')","(5, '201304240IND')","(12, '201404190TOR')","(9, '201504200CHI')","(0, '201604170MIA')","(13, '201704180TOR')","(14, '201804260MIL')","(10, '201904180BRK')","(9, '202008210PHI')","(12, '202105220BRK')","(15, '202204170BOS')","(10, '202304170PHI')","(18, '202405050CLE')"
"(6, '199705040MIA')","(14, '199804260MIA')","(13, '199905160MIA')","(8, '200004240CHH')","(7, '200104260NYK')","(8, '200204290TOR')","(2, '200305040DET')","(11, '200404270NOH')","(7, '200504240MIA')","(8, '200604240MIA')","(4, '200704210TOR')","(0, '200805010PHI')","(7, '200904220ORL')","(8, '201004260MIL')","(0, '201104220NYK')","(11, '201204300IND')","(7, '201304270ATL')","(11, '201404220TOR')","(18, '201504230MIL')","(7, '201604200MIA')","(0, '201704200MIL')","(5, '201804280BOS')","(10, '201904200BRK')","(6, '202008230PHI')","(3, '202105250BRK')","(17, '202204200BOS')","(13, '202304200BRK')","(2, '202404210MIL')"
"(13, '199704240NYK')","(7, '199804280NYK')","(9, '199905090ORL')","(7, '200004280PHI')","(10, '200104290TOR')","(9, '200205020DET')","(0, '200304190NJN')","(11, '200404300MIA')","(0, '200504260MIA')","(2, '200604270CHI')","(7, '200704240TOR')","(0, '200804200ORL')","(17, '200904240PHI')","(13, '201004280ATL')","(4, '201104240NYK')","(0, '201205020ORL')","(7, '201304290ATL')","(6, '201404250BRK')","(12, '201504250MIL')","(7, '201604230CHO')","(7, '201704220MIL')","(12, '201804140PHI')","(0, '201904230PHI')","(10, '202008180IND')","(15, '202105280BOS')","(7, '202204230BRK')","(11, '202304220BRK')","(8, '202404230MIL')"
"(10, '199704260NYK')","(9, '199804300NYK')","(5, '199905110ORL')","(8, '200005010PHI')","(9, '200105020TOR')","(11, '200204200NJN')","(5, '200304220NJN')","(8, '200405020NOH')","(10, '200504280NJN')","(13, '200604300CHI')","(0, '200704270NJN')","(18, '200804220ORL')","(11, '200904260PHI')","(7, '201004300MIL')","(8, '201104160ORL')","(19, '201205050ORL')","(3, '201305010IND')","(17, '201404270BRK')","(9, '201504270CHI')","(11, '201604250CHO')","(5, '201704240TOR')","(9, '201804160PHI')","(11, '201904140BOS')","(9, '202008200IND')","(9, '202105300BOS')","(10, '202204250BRK')","(2, '202304150BOS')","(19, '202404260IND')"
"(11, '199704280CHH')","(2, '199805030MIA')","(0, '199905130PHI')","(8, '200004230LAL')","(5, '200105040NYK')","(7, '200204220NJN')","(19, '200304240MIL')","(10, '200405040MIA')","(12, '200505010NJN')","(9, '200605020MIA')","(3, '200704290NJN')","(4, '200804240TOR')","(6, '200904280ORL')","(5, '201005020ATL')","(10, '201104190ORL')","(15, '201205080IND')","(4, '201305030ATL')","(26, '201404300TOR')","(0, '201504300MIL')","(12, '201604270MIA')","(25, '201704270MIL')","(11, '201804190MIA')","(12, '201904170BOS')","(3, '202008220MIA')","(6, '202106010BRK')","(6, '202204160GSW')","(11, '202304180BOS')","(5, '202404280IND')"
"(5, '199704240HOU')","(11, '199804240LAL')","(18, '199905150PHI')","(3, '200004270LAL')","(13, '200104210UTA')","(9, '200204260IND')","(15, '200304260MIL')","(8, '200404170NJN')","(7, '200504240CHI')","(2, '200605040CHI')","(3, '200705010TOR')","(8, '200804260TOR')","(3, '200904300PHI')","(14, '201004170BOS')","(14, '201104220ATL')","(2, '201204290ATL')","(2, '201304200BRK')","(2, '201405020BRK')","(15, '201504180TOR')","(7, '201604290CHO')","(11, '201704160WAS')","(12, '201804210MIA')","(15, '201904190IND')","(5, '202008240MIA')","(9, '202105220DEN')","(12, '202204180GSW')","(14, '202304210ATL')","(10, '202404300MIL')"
"(8, '199704260HOU')","(11, '199804260LAL')","(11, '199905090LAL')","(10, '200004300SAC')","(3, '200104240UTA')","(6, '200204300IND')","(9, '200304290NJN')","(9, '200404200NJN')","(13, '200504270CHI')","(6, '200604230NJN')","(10, '200705040NJN')","(8, '200804280ORL')","(5, '200904190ATL')","(9, '201004200BOS')","(16, '201104240ATL')","(11, '201205010ATL')","(7, '201304220BRK')","(6, '201405040TOR')","(10, '201504210TOR')","(4, '201605010MIA')","(10, '201704190WAS')","(6, '201804240PHI')","(9, '201904210IND')","(16, '202008180LAL')","(3, '202105240DEN')","(12, '202204210DEN')","(6, '202304230ATL')","(7, '202405020IND')"
"(9, '199704290MIN')","(7, '199804280POR')","(0, '199905110LAL')","(2, '200005020SAC')","(13, '200104280DAL')","(10, '200205020NJN')","(0, '200305010MIL')","(10, '200404220NYK')","(12, '200504300WAS')","(5, '200604250NJN')","(7, '200704220DAL')","(11, '200804190CLE')","(2, '200904220ATL')","(9, '201004230MIA')","(2, '201104260ORL')","(11, '201205040BOS')","(12, '201304250CHI')","(13, '201404200CHI')","(10, '201504240WAS')","(19, '201604160ATL')","(0, '201704220ATL')","(2, '201804150CLE')","(11, '201904130GSW')","(2, '202008200LAL')","(12, '202105270POR')","(17, '202204240DEN')","(13, '202304250BOS')","(14, '202404200NYK')"
"(6, '199704250LAL')","(4, '199804300POR')","(11, '199905130HOU')","(0, '200005050LAL')","(10, '200105010DAL')","(11, '200204210DAL')","(10, '200304200PHI')","(7, '200404250NYK')","(0, '200505020WAS')","(6, '200604270IND')","(8, '200704250DAL')","(8, '200804210CLE')","(0, '200904250MIA')","(18, '201004250MIA')","(4, '201104280ATL')","(2, '201205060BOS')","(14, '201304270CHI')","(17, '201404220CHI')","(2, '201504260WAS')","(0, '201604190ATL')","(10, '201704240ATL')","(0, '201804180CLE')","(31, '201904150GSW')","(9, '202008220POR')","(10, '202105290POR')","(10, '202204270GSW')","(10, '202304270ATL')","(10, '202404220NYK')"
